id,ena_sample.secondary_accession,ena_run.secondary_accession
MILK-9F1801,ERS5210827,ERR4687822
QEUH-9F762F,ERS5210972,ERR4687967
QEUH-9F491A,ERS5211956,ERR4688440
QEUH-9F4929,ERS5211971,ERR4688455
QEUH-9F4974,ERS5211955,ERR4688439
QEUH-9F5973,ERS5211325,ERR4688320
QEUH-9F59A0,ERS5211330,ERR4688325
QEUH-9F6435,ERS5211400,ERR4688395
QEUH-9F9ECB,ERS5540499,ERR5076037
QEUH-9F7D1B,ERS5211149,ERR4688144
QEUH-9F8776,ERS5211410,ERR4688405
QEUH-9F9CB2,ERS5211124,ERR4688119
QEUH-9FAB87,ERS5212483,ERR4688967
QEUH-9FADDC,ERS5212578,ERR4689062
QEUH-A1E454,ERS5224707,ERR4698964
MILK-A05A30,ERS5223697,ERR4697954
QEUH-9FF8A9,ERS5223427,ERR4697684
QEUH-A008B3,ERS5223615,ERR4697872
QEUH-A0C055,ERS5224112,ERR4698369
QEUH-A017A6,ERS5540205,ERR5075743
MILK-A05FAA,ERS5223712,ERR4697969
MILK-A06A5D,ERS5223962,ERR4698219
MILK-A06A7B,ERS5223966,ERR4698223
MILK-A06A99,ERS5223940,ERR4698197
QEUH-A202EC,ERS5224819,ERR4699076
QEUH-A0AAD1,ERS5224044,ERR4698301
QEUH-A2139D,ERS5224727,ERR4698984
MILK-A06264,ERS5223868,ERR4698125
QEUH-A0B092,ERS5224029,ERR4698286
MILK-A17DE7,ERS5244891,ERR4758314
MILK-A17E02,ERS5246025,ERR4759452
QEUH-A005AD,ERS5217726,ERR4693566
CAMB-1B675E,ERS5216782,ERR4692625
CAMB-1B66F7,ERS5218747,ERR4694595
MILK-A1B74F,ERS5245731,ERR4759159
MILK-A1D1E5,ERS5245744,ERR4759173
MILK-A23A1E,ERS5333467,ERR4838217
MILK-A22A00,ERS5261109,ERR4779986
MILK-A22A2E,ERS5260730,ERR4779604
MILK-A229E5,ERS5261751,ERR4780637
MILK-A1D200,ERS5246447,ERR4759901
CAMC-A3F6A2,ERS5267589,ERR4786347
CAMC-A41E2D,ERS5267993,ERR4786751
QEUH-A33705,ERS5295301,ERR4806372
QEUH-A4D313,ERS5541327,ERR5076872
QEUH-A4D489,ERS5529763,ERR5065371
QEUH-A4B078,ERS5334422,ERR4839163
QEUH-A49B88,ERS5245136,ERR4758562
ALDP-A2F97F,ERS5225338,ERR4699595
MILK-A44C02,ERS5249581,ERR4763367
QEUH-A492CF,ERS5245713,ERR4759140
QEUH-A4B069,ERS5334155,ERR4838897
MILK-A45023,ERS5249804,ERR4763590
MILK-A45041,ERS5249802,ERR4763588
