id,collection_date,lineage,epi_week,location
MILK-9F1801,25/09/2020,B.1.146,39,UK/ENG
QEUH-9F762F,25/09/2020,B.1.1,39,UK/ENG
QEUH-9F491A,25/09/2020,B.1.1.307,39,UK/ENG
QEUH-9F4929,25/09/2020,B.1.1.192,39,UK/ENG
QEUH-9F4974,25/09/2020,B.1.235,39,UK/ENG
QEUH-9F5973,25/09/2020,B.1.235,39,UK/ENG
QEUH-9F59A0,25/09/2020,B.1.235,39,UK/ENG
QEUH-9F6435,25/09/2020,B.1.1.315,39,UK/ENG
QEUH-9F9ECB,27/09/2020,B.1.1,40,UK/ENG
QEUH-9F7D1B,27/09/2020,B.1.1.37,40,UK/ENG
QEUH-9F8776,27/09/2020,B.1.1.37,40,UK/ENG
QEUH-9F9CB2,27/09/2020,B.1.177,40,UK/ENG
QEUH-9FAB87,28/09/2020,B.1.1.307,40,UK/ENG
QEUH-9FADDC,28/09/2020,B.1.1.198,40,UK/ENG
QEUH-A1E454,29/09/2020,B.1.146,40,UK/ENG
MILK-A05A30,29/09/2020,B.1.177.4,40,UK/ENG
QEUH-9FF8A9,30/09/2020,B.1.1,40,UK/ENG
QEUH-A008B3,30/09/2020,B.1.1,40,UK/ENG
QEUH-A0C055,30/09/2020,B.1.177.17,40,UK/ENG
QEUH-A017A6,30/09/2020,B.1.177,40,UK/ENG
MILK-A05FAA,01/10/2020,B.1.36.6,40,UK/ENG
MILK-A06A5D,01/10/2020,B.1.160,40,UK/ENG
MILK-A06A7B,01/10/2020,B.1.160,40,UK/ENG
MILK-A06A99,01/10/2020,B.1.1.37,40,UK/ENG
QEUH-A202EC,01/10/2020,B.1.1.315,40,UK/ENG
QEUH-A0AAD1,01/10/2020,B.1.177,40,UK/ENG
QEUH-A2139D,01/10/2020,B.1.258.4,40,UK/ENG
MILK-A06264,01/10/2020,B.1.177,40,UK/ENG
QEUH-A0B092,01/10/2020,B.1.177.4,40,UK/ENG
MILK-A17DE7,01/10/2020,B.1.258,40,UK/ENG
MILK-A17E02,01/10/2020,B.1.258,40,UK/ENG
QEUH-A005AD,02/10/2020,B.1.1.37,40,UK/ENG
CAMB-1B675E,03/10/2020,B.1.177.13,40,UK/ENG
CAMB-1B66F7,03/10/2020,B.1.1,40,UK/ENG
MILK-A1B74F,03/10/2020,B.1.1,40,UK/ENG
MILK-A1D1E5,03/10/2020,B.1.1,40,UK/ENG
MILK-A23A1E,03/10/2020,B.1.1.307,40,UK/ENG
MILK-A22A00,03/10/2020,B.1.1.307,40,UK/ENG
MILK-A22A2E,03/10/2020,B.1.1.307,40,UK/ENG
MILK-A229E5,03/10/2020,B.1.1.279,40,UK/ENG
MILK-A1D200,03/10/2020,B.1.177,40,UK/ENG
CAMC-A3F6A2,04/10/2020,B.1.235,41,UK/ENG
CAMC-A41E2D,04/10/2020,B.1.235,41,UK/ENG
QEUH-A33705,04/10/2020,B.1.177.17,41,UK/ENG
QEUH-A4D313,04/10/2020,B.1.177,41,UK/ENG
QEUH-A4D489,05/10/2020,B.1,41,UK/ENG
QEUH-A4B078,05/10/2020,B.1.177,41,UK/ENG
QEUH-A49B88,05/10/2020,B.1.177.16,41,UK/ENG
ALDP-A2F97F,05/10/2020,B.1.177,41,UK/ENG
MILK-A44C02,05/10/2020,B.1.177,41,UK/ENG
QEUH-A492CF,05/10/2020,B.1.177,41,UK/ENG
QEUH-A4B069,05/10/2020,B.1.177,41,UK/ENG
MILK-A45023,06/10/2020,B.1.221,41,UK/ENG
MILK-A45041,06/10/2020,B.1.221,41,UK/ENG
MILK-A457B5,06/10/2020,B.1.221,41,UK/ENG
MILK-A44DD2,06/10/2020,B.1.146,41,UK/ENG
MILK-A45A43,06/10/2020,B.1.235,41,UK/ENG
MILK-A47F60,06/10/2020,B.1.235,41,UK/ENG
MILK-A45F26,06/10/2020,B.1.1.315,41,UK/ENG
MILK-A45D59,06/10/2020,B.1.1.153,41,UK/ENG
MILK-A461F2,06/10/2020,B.1.1.198,41,UK/ENG
MILK-A459FB,06/10/2020,B.1.1.1,41,UK/ENG
MILK-A45A61,06/10/2020,B.1.1.1,41,UK/ENG
MILK-A47F8E,06/10/2020,B.1.1.1,41,UK/ENG
MILK-A4620E,06/10/2020,B.1.177.10,41,UK/ENG
MILK-A46F34,06/10/2020,B.1.177,41,UK/ENG
MILK-A44E48,06/10/2020,B.1.177,41,UK/ENG
MILK-A45858,06/10/2020,B.1.177,41,UK/ENG
MILK-A47012,06/10/2020,B.1.177,41,UK/ENG
MILK-A44E0C,06/10/2020,B.1.177.6,41,UK/ENG
MILK-A45032,06/10/2020,B.1.177.4,41,UK/ENG
MILK-A45F35,06/10/2020,B.1.177.4,41,UK/ENG
MILK-A45F53,06/10/2020,B.1.177.4,41,UK/ENG
MILK-A4607D,06/10/2020,B.1.177.4,41,UK/ENG
MILK-A44E75,06/10/2020,B.1.258,41,UK/ENG
CAMB-1B69D0,07/10/2020,B.1.36.17,41,UK/ENG
CAMB-1B6958,07/10/2020,B.1.177.4,41,UK/ENG
ALDP-A51D0F,07/10/2020,B.1.1.236,41,UK/ENG
CAMC-A41151,07/10/2020,B.1.1.307,41,UK/ENG
ALDP-A51060,07/10/2020,B.1.1.307,41,UK/ENG
QEUH-A4D252,07/10/2020,B.1.1.37,41,UK/ENG
CAMC-A58421,07/10/2020,B.1.177,41,UK/ENG
CAMC-A58922,08/10/2020,B.1.36,41,UK/ENG
CAMC-A59208,08/10/2020,B.1.1.311,41,UK/ENG
UC00000204,08/10/2020,B.1.160.7,41,UK/ENG
UC00002442,08/10/2020,B.1.177.7,41,UK/ENG
